datetime,BTC_transactions,BTC_av_trans_value_USD,BTC_tweets,BTC_google_trends,ETH_transactions,ETH_av_trans_value_USD,ETH_tweets,ETH_google_trends,DOGE_transactions,DOGE_av_trans_value_USD,DOGE_tweets,DOGE_google_trends
2021-05-17,250789.0,457314.0,184558.0,259.986,1446627.0,10383.0,23003.0,99.423,34003.0,690805.0,94812.0,38.663
2021-05-18,220918.0,373710.0,120021.0,197.256,1425053.0,7950.0,30883.0,76.231,32539.0,591161.0,83971.0,30.458
2021-05-19,263294.0,450143.0,363566.0,505.899,1461174.0,19373.0,47328.0,151.095,39802.0,690897.0,99977.0,53.936
2021-05-20,227927.0,498229.0,173415.0,379.363,1459146.0,14436.0,31240.0,110.244,32284.0,749406.0,84651.0,39.398
2021-05-21,226241.0,379726.0,185009.0,294.204,1366950.0,10373.0,29786.0,91.359,28616.0,512084.0,74434.0,30.867
2021-05-22,223684.0,396228.0,174133.0,259.374,1283663.0,7331.0,26168.0,85.561,24898.0,594650.0,82461.0,25.272
2021-05-23,194201.0,402813.0,160368.0,304.794,1264253.0,11152.0,26923.0,107.102,28227.0,1161004.0,76725.0,30.733
2021-05-24,234629.0,411655.0,151342.0,284.611,1312739.0,11143.0,25170.0,96.659,26669.0,1061494.0,65901.0,27.839
2021-05-25,233521.0,373314.0,107640.0,224.793,1289446.0,10356.0,23147.0,82.725,25642.0,608744.0,76163.0,23.394
2021-05-26,230631.0,378094.0,114558.0,195.924,1326432.0,9128.0,29736.0,77.538,25735.0,236823.0,61944.0,19.722
2021-05-27,213918.0,359587.0,100263.0,167.874,1291385.0,9491.0,29184.0,67.28,23003.0,501794.0,54460.0,17.699
2021-05-28,218192.0,486152.0,104815.0,182.334,1305078.0,7848.0,33173.0,64.89,22621.0,404632.0,44583.0,16.453
2021-05-29,198216.0,362660.0,98843.0,174.881,1293425.0,6519.0,28110.0,62.491,21426.0,313873.0,38216.0,16.425
2021-05-30,179651.0,213617.0,109381.0,166.52,1280282.0,5012.0,18637.0,59.358,20159.0,495745.0,43335.0,14.897
2021-05-31,226328.0,179821.0,101203.0,159.077,1297889.0,4396.0,20195.0,58.08,21011.0,530780.0,41004.0,14.541
2021-06-01,234419.0,232637.0,105694.0,154.136,1274354.0,6942.0,18813.0,55.314,23385.0,591077.0,59868.0,17.303
2021-06-02,250423.0,171600.0,92542.0,151.86,1314024.0,5370.0,18551.0,50.347,34433.0,550293.0,91304.0,29.132
2021-06-03,255474.0,184357.0,88708.0,151.003,1337521.0,5695.0,17495.0,51.922,29618.0,1729356.0,69377.0,24.626
2021-06-04,236541.0,161320.0,184618.0,164.596,1301803.0,5601.0,20887.0,51.401,34749.0,706150.0,57635.0,19.692
2021-06-05,194449.0,143921.0,174730.0,146.617,1176676.0,3960.0,36725.0,47.507,28476.0,230337.0,60145.0,15.927
2021-06-06,185155.0,346058.0,211698.0,157.12,1134526.0,2790.0,27535.0,47.138,25439.0,245896.0,55328.0,14.107
2021-06-07,235346.0,328847.0,172116.0,148.63,1225549.0,4576.0,26752.0,48.105,26962.0,314820.0,51108.0,14.645
2021-06-08,246757.0,336602.0,187281.0,208.864,1221063.0,7926.0,20561.0,54.479,26486.0,360256.0,42451.0,15.344
2021-06-09,210785.0,218923.0,297825.0,188.982,1194275.0,6960.0,29360.0,47.262,25696.0,467104.0,49482.0,13.329
2021-06-10,252865.0,206447.0,192780.0,165.833,1188556.0,3988.0,26529.0,41.197,24092.0,387458.0,42754.0,11.953
2021-06-11,216397.0,250106.0,145724.0,135.713,1183286.0,4115.0,25413.0,39.145,24070.0,278391.0,44401.0,10.536
2021-06-12,222642.0,161942.0,133446.0,121.405,1131777.0,3145.0,26489.0,37.633,22680.0,297205.0,40193.0,10.279
2021-06-13,186966.0,230003.0,149747.0,126.118,1124736.0,2625.0,26452.0,36.082,21825.0,343548.0,47162.0,9.529
2021-06-14,242281.0,243277.0,173293.0,160.737,1188556.0,4904.0,37817.0,42.238,25062.0,198649.0,53460.0,11.382
2021-06-15,241730.0,233337.0,139190.0,132.192,1224101.0,3974.0,34658.0,37.585,24741.0,284532.0,46245.0,9.275
2021-06-16,252814.0,250695.0,116771.0,120.196,1201109.0,5783.0,32356.0,34.668,24524.0,292415.0,39967.0,8.329
2021-06-17,237595.0,254760.0,122733.0,110.871,1218956.0,4432.0,31273.0,32.214,23035.0,235518.0,40975.0,7.842
2021-06-18,222794.0,258339.0,125163.0,113.67,1170182.0,5230.0,22102.0,35.303,23727.0,335149.0,34905.0,9.365
2021-06-19,186939.0,206369.0,98521.0,99.747,1050189.0,2516.0,14446.0,31.444,22384.0,316459.0,31878.0,7.895
2021-06-20,167144.0,268040.0,100940.0,114.277,1057288.0,3017.0,17641.0,37.032,23071.0,288542.0,35840.0,9.799
2021-06-21,204945.0,282976.0,153833.0,165.516,1209567.0,6605.0,18085.0,52.91,29563.0,394657.0,55042.0,19.474
2021-06-22,196432.0,315555.0,153834.0,217.752,1297450.0,7769.0,20787.0,55.698,29739.0,359525.0,65999.0,21.805
2021-06-23,232603.0,264341.0,125027.0,156.49,1201974.0,3773.0,27428.0,41.899,26515.0,183793.0,52245.0,14.153
2021-06-24,233173.0,268789.0,105656.0,132.941,1207012.0,4151.0,27032.0,35.748,25345.0,128563.0,40545.0,12.004
2021-06-25,218135.0,363718.0,154086.0,136.265,1227331.0,4637.0,20816.0,37.461,28045.0,149561.0,47170.0,12.571
